width,n_hidden,N,D,C,batch_size,lr,steps,iso_C,seed,init_loss,val_loss
8,2,345,1024,1595392.0,256,0.04200644793292891,4,0.0,0,1.0835981464385986,0.8037492728233337
8,2,345,2048,3190784.0,256,0.04200644793292891,8,0.0,0,1.0835981464385986,0.5235113596916199
8,2,345,4096,6381568.0,256,0.04200644793292891,16,0.0,0,1.0835981464385986,0.3358151412010193
8,2,345,8192,12763136.0,256,0.04200644793292891,32,0.0,0,1.0835981464385986,0.21696121454238892
8,2,345,16384,25526272.0,256,0.04200644793292891,64,0.0,0,1.0835981464385986,0.19087029457092286
8,2,345,32768,51052544.0,256,0.04200644793292891,128,0.0,0,1.0835981464385986,0.15290830492973329
8,2,345,65536,102105088.0,256,0.04200644793292891,256,0.0,0,1.0835981464385986,0.13328724563121797
8,2,345,131072,204210176.0,256,0.027389269656268186,512,0.0,0,1.0835981464385986,0.12463730037212373
8,2,345,262144,408420352.0,256,0.01785849861672575,1024,0.0,0,1.0835981464385986,0.11889898240566255
8,2,345,524288,816840704.0,256,0.011644194125877598,2048,0.0,0,1.0835981464385986,0.11450351238250733
8,2,345,1048576,1633681408.0,256,0.007592309955672045,4096,0.0,0,1.0835981464385986,0.11281673073768617
8,2,345,2097152,3267362816.0,256,0.004950378690002509,8192,0.0,0,1.0835981464385986,0.11137949138879777
8,2,345,4194304,6534725632.0,256,0.00322777248525304,16384,0.0,0,1.0835981464385986,0.10991439431905747
8,2,345,8388608,13069451264.0,256,0.0021045895413207886,32768,0.0,0,1.0835981464385986,0.10977357089519502
8,2,345,16777216,26138902528.0,256,0.0013722457693884254,65536,0.0,0,1.0835981464385986,0.10856653213500977
16,2,817,1024,3971072.0,256,0.032413859159767286,4,0.0,0,0.9844372963905335,0.7582030987739563
16,2,817,2048,7942144.0,256,0.032413859159767286,8,0.0,0,0.9844372963905335,0.3654748892784119
16,2,817,4096,15884288.0,256,0.032413859159767286,16,0.0,0,0.9844372963905335,0.23935502231121064
16,2,817,8192,31768576.0,256,0.032413859159767286,32,0.0,0,0.9844372963905335,0.19440473079681397
16,2,817,16384,63537152.0,256,0.032413859159767286,64,0.0,0,0.9844372963905335,0.15401739835739137
16,2,817,32768,127074304.0,256,0.032413859159767286,128,0.0,0,0.9844372963905335,0.10216645359992982
16,2,817,65536,254148608.0,256,0.032413859159767286,256,0.0,0,0.9844372963905335,0.07590520590543748
16,2,817,131072,508297216.0,256,0.02113465843493097,512,0.0,0,0.9844372963905335,0.06813691765069962
16,2,817,262144,1016594432.0,256,0.013780333435755134,1024,0.0,0,0.9844372963905335,0.062051067352294924
16,2,817,524288,2033188864.0,256,0.008985126974502301,2048,0.0,0,0.9844372963905335,0.05729552567005158
16,2,817,1048576,4066377728.0,256,0.0058585307187456245,4096,0.0,0,0.9844372963905335,0.0561343489587307
16,2,817,2097152,8132755456.0,256,0.0038199106456575467,8192,0.0,0,0.9844372963905335,0.05503237828612328
16,2,817,4194304,16265510912.0,256,0.0024906786430458627,16384,0.0,0,0.9844372963905335,0.05332142695784569
16,2,817,8388608,32531021824.0,256,0.0016239856578783751,32768,0.0,0,0.9844372963905335,0.052590908706188204
16,2,817,16777216,65062043648.0,256,0.001058879845602826,65536,0.0,0,0.9844372963905335,0.052230583727359774
32,2,2145,1024,11081728.0,256,0.025011833119210656,4,0.0,0,0.9877945876121521,0.6004481410980225
32,2,2145,2048,22163456.0,256,0.025011833119210656,8,0.0,0,0.9877945876121521,0.33145103812217713
32,2,2145,4096,44326912.0,256,0.025011833119210656,16,0.0,0,0.9877945876121521,0.24057636618614198
32,2,2145,8192,88653824.0,256,0.025011833119210656,32,0.0,0,0.9877945876121521,0.18860224843025208
32,2,2145,16384,177307648.0,256,0.025011833119210656,64,0.0,0,0.9877945876121521,0.12692708730697633
32,2,2145,32768,354615296.0,256,0.025011833119210656,128,0.0,0,0.9877945876121521,0.06146611481904984
32,2,2145,65536,709230592.0,256,0.025011833119210656,256,0.0,0,0.9877945876121521,0.04628569096326828
32,2,2145,131072,1418461184.0,256,0.016308349684635532,512,0.0,0,0.9877945876121521,0.03884429320693016
32,2,2145,262144,2836922368.0,256,0.010633457698551337,1024,0.0,0,0.9877945876121521,0.03459154650568962
32,2,2145,524288,5673844736.0,256,0.0069332841650683345,2048,0.0,0,0.9877945876121521,0.0320321174710989
32,2,2145,1048576,11347689472.0,256,0.004520677156606947,4096,0.0,0,0.9877945876121521,0.029898198544979097
32,2,2145,2097152,22695378944.0,256,0.0029475961849699337,8192,0.0,0,0.9877945876121521,0.028285645171999933
32,2,2145,4194304,45390757888.0,256,0.0019219074861276846,16384,0.0,0,0.9877945876121521,0.027583973705768587
32,2,2145,8388608,90781515776.0,256,0.0012531324351918692,32768,0.0,0,0.9877945876121521,0.026648970544338228
32,2,2145,16777216,181563031552.0,256,0.0008170741367441535,65536,0.0,0,0.9877945876121521,0.026039134934544565
64,2,6337,1024,34740224.0,256,0.019300133097380143,4,0.0,0,0.9925375080108643,0.47408945322036744
64,2,6337,2048,69480448.0,256,0.019300133097380143,8,0.0,0,0.9925375080108643,0.2786034440994263
64,2,6337,4096,138960896.0,256,0.019300133097380143,16,0.0,0,0.9925375080108643,0.20636671245098115
64,2,6337,8192,277921792.0,256,0.019300133097380143,32,0.0,0,0.9925375080108643,0.1348045563697815
64,2,6337,16384,555843584.0,256,0.019300133097380143,64,0.0,0,0.9925375080108643,0.07165806949138642
64,2,6337,32768,1111687168.0,256,0.019300133097380143,128,0.0,0,0.9925375080108643,0.039625684022903444
64,2,6337,65536,2223374336.0,256,0.019300133097380143,256,0.0,0,0.9925375080108643,0.036071084663271906
64,2,6337,131072,4446748672.0,256,0.012584176378113323,512,0.0,0,0.9925375080108643,0.0320037791877985
64,2,6337,262144,8893497344.0,256,0.008205202229251042,1024,0.0,0,0.9925375080108643,0.02898651570081711
64,2,6337,524288,17786994688.0,256,0.00535,2048,0.0,0,0.9925375080108643,0.026533806920051577
64,2,6337,1048576,35573989376.0,256,0.0034883357168166485,4096,0.0,0,0.9925375080108643,0.024196519739925863
64,2,6337,2097152,71147978752.0,256,0.002274483378171724,8192,0.0,0,0.9925375080108643,0.022481682002544405
64,2,6337,4194304,142295957504.0,256,0.001483020860819105,16384,0.0,0,0.9925375080108643,0.021049863882362845
64,2,6337,8388608,284591915008.0,256,0.0009669672219774685,32768,0.0,0,0.9925375080108643,0.019852332994341852
